"DateTime","E07SP"
"10.06.2005 08:19:40",46
"10.06.2005 08:19:50",56
"10.06.2005 08:20:00",77
"10.06.2005 08:20:10",98
"10.06.2005 08:20:20",100
"10.06.2005 10:16:20",99
"10.06.2005 10:16:30",87
"10.06.2005 10:16:40",77
"10.06.2005 10:16:50",56
"10.06.2005 10:17:00",35
"10.06.2005 10:17:10",23
"10.06.2005 10:17:20",23
"10.06.2005 14:05:10",14
"10.06.2005 14:05:20",0
"10.06.2005 14:05:30",0
"12.06.2005 08:15:10",14
"12.06.2005 08:15:20",25
"12.06.2005 08:15:30",46
"12.06.2005 08:15:40",67
"12.06.2005 08:15:50",88
"12.06.2005 08:16:00",100
"12.06.2005 08:16:10",100
"12.06.2005 09:43:10",99
"12.06.2005 09:43:20",99
"12.06.2005 09:55:10",100
"12.06.2005 10:09:10",99
"12.06.2005 14:05:20",66
"12.06.2005 14:05:30",56
"12.06.2005 14:05:40",35
"12.06.2005 14:05:50",14
"12.06.2005 14:06:00",0
"12.06.2005 14:06:10",0
"13.06.2005 08:15:10",14
"13.06.2005 08:15:20",35
"13.06.2005 08:15:30",56
"13.06.2005 08:15:40",67
"13.06.2005 08:15:50",88
"13.06.2005 08:16:00",100
"13.06.2005 08:18:40",96
"13.06.2005 08:18:50",86
"13.06.2005 08:19:00",65
"13.06.2005 08:19:10",53
"13.06.2005 08:19:20",53
"13.06.2005 10:21:10",67
"13.06.2005 10:21:20",77
"13.06.2005 10:21:30",100
"13.06.2005 10:21:40",100
"13.06.2005 10:42:10",99
"13.06.2005 13:35:30",77
"13.06.2005 13:35:40",56
"13.06.2005 13:35:50",45
"13.06.2005 13:36:00",24
"13.06.2005 13:36:10",3
"13.06.2005 13:36:20",0
"14.06.2005 08:15:10",14
"14.06.2005 08:15:20",35
"14.06.2005 08:15:30",46
"14.06.2005 08:15:40",48
"14.06.2005 09:27:10",44
"14.06.2005 09:27:20",23
"14.06.2005 09:27:30",2
"14.06.2005 09:27:40",0
"16.06.2005 08:15:10",14
"16.06.2005 08:15:20",35
"16.06.2005 08:15:30",45
"16.06.2005 08:15:40",66
"16.06.2005 08:15:50",87
"16.06.2005 08:16:00",100
"16.06.2005 08:16:10",100
"16.06.2005 08:16:30",86
"16.06.2005 08:16:40",75
"16.06.2005 08:16:50",54
"16.06.2005 08:17:00",45
"16.06.2005 10:20:10",52
"16.06.2005 10:20:20",52
"16.06.2005 12:28:00",52
"16.06.2005 14:05:20",29
"16.06.2005 14:05:30",8
"16.06.2005 14:05:40",0
"18.06.2005 08:15:10",14
"18.06.2005 08:15:20",35
"18.06.2005 08:15:30",46
"18.06.2005 08:15:40",67
"18.06.2005 08:15:50",88
"18.06.2005 08:16:00",100
"18.06.2005 08:16:10",100
"18.06.2005 08:31:10",99
"18.06.2005 08:31:20",99
"18.06.2005 09:03:10",100
"18.06.2005 11:09:00",99
"18.06.2005 11:09:10",99
"18.06.2005 14:05:20",66
"18.06.2005 14:05:30",56
"18.06.2005 14:05:40",35
"18.06.2005 14:05:50",14
"18.06.2005 14:06:00",0
"18.06.2005 14:06:10",0
"19.06.2005 08:15:10",14
"19.06.2005 08:15:20",35
"19.06.2005 08:15:30",46
"19.06.2005 08:15:40",67
"19.06.2005 08:15:50",88
"19.06.2005 08:16:00",100
"19.06.2005 10:56:00",99
"19.06.2005 14:05:10",87
"19.06.2005 14:05:20",77
"19.06.2005 14:05:30",56
"19.06.2005 14:05:40",35
"19.06.2005 14:05:50",14
"19.06.2005 14:06:00",0
"19.06.2005 14:06:10",0
"20.06.2005 08:15:10",14
"20.06.2005 08:15:20",25
"20.06.2005 08:15:30",46
"20.06.2005 08:15:40",47
"20.06.2005 10:17:10",61
"20.06.2005 10:17:20",82
"20.06.2005 10:17:30",93
"20.06.2005 10:17:40",100
"20.06.2005 10:54:10",99
"20.06.2005 13:05:50",87
"20.06.2005 13:06:00",66
"20.06.2005 13:06:10",45
"20.06.2005 13:06:20",24
"20.06.2005 13:06:30",14
"20.06.2005 13:06:40",0
"21.06.2005 08:15:10",14
"21.06.2005 08:15:20",35
"21.06.2005 08:15:30",46
"21.06.2005 08:15:40",67
"21.06.2005 08:15:50",88
"21.06.2005 08:16:00",100
